From;To;Count
0;0;1
0;2;6
0;3;18
0;4;6
1;0;4
1;2;3
1;3;18
2;0;5
2;1;6
2;2;31
2;3;78
2;4;22
2;5;1
3;0;13
3;1;13
3;2;87
3;3;463
3;4;252
3;5;17
4;0;8
4;1;6
4;2;16
4;3;261
4;4;584
4;5;69
4;6;1
5;3;8
5;4;81
5;5;28
6;5;2
6;6;1
