From;To;Count
0;2;2
0;3;1
0;4;2
1;2;8
1;3;12
1;4;4
2;0;2
2;1;12
2;2;77
2;3;129
2;4;69
2;5;4
3;0;2
3;1;9
3;2;139
3;3;587
3;4;340
3;5;23
4;1;3
4;2;64
4;3;346
4;4;442
4;5;51
5;0;1
5;2;3
5;3;25
5;4;50
5;5;14
