From;To;Count
0;0;4
0;1;4
0;2;10
0;3;3
1;0;6
1;1;7
1;2;3
1;3;10
1;4;3
2;0;7
2;1;8
2;2;12
2;3;12
2;4;6
3;0;4
3;1;9
3;2;15
3;3;716
3;4;516
3;5;7
4;0;1
4;1;1
4;2;5
4;3;512
4;4;1905
4;5;79
4;6;1
5;3;13
5;4;74
5;5;30
6;3;1
