From;To;Count
0;0;5
0;1;6
0;2;4
0;3;12
1;0;9
1;1;23
1;2;19
1;3;17
1;4;5
2;0;3
2;1;26
2;2;77
2;3;53
2;4;12
2;6;1
3;0;9
3;1;14
3;2;58
3;3;128
3;4;28
3;6;1
4;0;1
4;1;4
4;2;13
4;3;25
4;4;25
4;5;6
5;2;1
5;3;2
5;4;4
5;5;1
6;3;2
