From;To;Count
0;0;45
0;1;2
0;2;20
0;3;27
0;4;8
1;0;7
1;1;12
1;2;15
1;3;19
1;4;5
2;0;18
2;1;23
2;2;57
2;3;86
2;4;16
2;5;1
3;0;30
3;1;17
3;2;95
3;3;476
3;4;302
3;5;12
4;0;2
4;1;4
4;2;14
4;3;320
4;4;1546
4;5;294
4;6;2
5;3;5
5;4;304
5;5;582
5;6;19
6;5;21
6;6;4
