From;To;Count
0;2;1
1;1;3
1;2;6
1;3;8
1;4;3
1;5;1
2;0;1
2;1;6
2;2;49
2;3;48
2;4;28
3;1;8
3;2;48
3;3;137
3;4;163
3;5;19
3;6;2
4;1;4
4;2;26
4;3;168
4;4;876
4;5;161
4;6;1
5;2;2
5;3;15
5;4;167
5;5;352
5;6;196
6;3;1
6;5;199
6;6;1258
6;7;7
7;6;7
7;7;2
