From;To;Count
2;4;1
3;3;5
3;4;20
3;5;3
4;2;1
4;3;21
4;4;507
4;5;196
4;6;3
5;3;2
5;4;199
5;5;500
5;6;20
6;4;2
6;5;21
6;6;3
