From;To;Count
0;0;1
0;2;1
0;3;5
1;1;3
1;2;19
1;3;27
1;4;3
2;0;3
2;1;20
2;2;106
2;3;205
2;4;27
2;5;1
3;0;3
3;1;28
3;2;197
3;3;637
3;4;170
3;5;21
3;6;1
4;1;1
4;2;35
4;3;165
4;4;154
4;5;15
5;2;4
5;3;18
5;4;15
5;5;7
5;6;1
6;2;1
6;4;1
6;5;1
6;6;1
