From;To;Count
0;3;1
1;1;4
1;2;14
1;3;3
1;4;1
2;1;16
2;2;63
2;3;28
2;4;14
3;0;1
3;1;1
3;2;26
3;3;86
3;4;90
4;1;1
4;2;17
4;3;86
4;4;290
4;5;30
5;2;1
5;3;1
5;4;29
5;5;24
5;6;1
6;5;1
