From;To;Count
0;0;2
0;2;2
0;3;8
0;4;6
0;5;2
1;1;1
1;2;1
1;3;6
1;4;2
1;5;1
2;0;4
2;2;23
2;3;52
2;4;53
2;5;3
2;6;1
3;0;4
3;1;7
3;2;62
3;3;208
3;4;279
3;5;37
4;0;9
4;1;1
4;2;46
4;3;302
4;4;1718
4;5;484
4;6;9
5;0;1
5;1;2
5;2;2
5;3;21
5;4;510
5;5;893
5;6;34
6;4;2
6;5;42
6;6;33
