From;To;Count
0;0;1
0;3;1
0;4;2
0;5;7
1;0;1
1;3;1
2;1;1
2;3;3
2;4;4
3;2;3
3;3;66
3;4;167
3;5;11
4;0;2
4;1;1
4;2;5
4;3;160
4;4;2019
4;5;629
4;6;6
5;0;7
5;3;16
5;4;630
5;5;1300
5;6;39
6;4;1
6;5;44
6;6;19
