From;To;Count
0;0;1
0;5;2
1;1;8
1;2;29
1;3;31
1;4;6
1;5;1
2;1;34
2;2;206
2;3;264
2;4;53
2;5;7
3;1;30
3;2;272
3;3;1008
3;4;298
3;5;33
4;1;3
4;2;49
4;3;309
4;4;834
4;5;143
4;6;1
5;0;1
5;2;8
5;3;29
5;4;148
5;5;209
5;6;2
6;4;1
6;5;2
