From;To;Count
0;2;4
0;3;3
1;0;1
1;1;4
1;2;21
1;3;30
1;4;11
1;5;8
2;0;3
2;1;28
2;2;94
2;3;122
2;4;71
2;5;16
3;0;2
3;1;30
3;2;116
3;3;364
3;4;219
3;5;48
4;0;1
4;1;11
4;2;77
4;3;218
4;4;235
4;5;48
5;1;2
5;2;22
5;3;42
5;4;54
5;5;48
5;6;2
6;5;3
6;6;1
