From;To;Count
0;0;7
0;1;23
0;2;25
0;3;7
0;4;2
1;0;19
1;1;92
1;2;130
1;3;61
1;4;19
2;0;20
2;1;135
2;2;518
2;3;335
2;4;73
2;5;7
3;0;14
3;1;56
3;2;338
3;3;834
3;4;274
3;5;4
4;0;4
4;1;13
4;2;74
4;3;280
4;4;1087
4;5;52
5;1;2
5;2;3
5;3;4
5;4;55
5;5;30
