From;To;Count
0;2;4
0;3;1
0;4;1
1;1;2
1;2;11
1;3;16
1;4;5
2;0;1
2;1;13
2;2;63
2;3;208
2;4;63
2;5;8
3;0;2
3;1;13
3;2;221
3;3;964
3;4;398
3;5;37
4;0;3
4;1;6
4;2;53
4;3;406
4;4;513
4;5;44
5;2;4
5;3;41
5;4;44
5;5;18
