From;To;Count
2;4;2
3;2;1
3;3;14
3;4;16
4;2;1
4;3;17
4;4;103
4;5;73
4;6;1
5;4;74
5;5;1137
5;6;156
6;5;157
6;6;199
6;7;8
7;6;8
7;7;3
