From;To;Count
0;0;57
0;1;21
0;2;45
0;3;31
0;4;14
0;5;1
1;0;26
1;1;51
1;2;27
1;3;36
1;4;9
2;0;47
2;1;36
2;2;85
2;3;63
2;4;11
2;5;1
3;0;26
3;1;31
3;2;68
3;3;111
3;4;21
3;5;4
4;0;12
4;1;9
4;2;16
4;3;18
4;4;7
5;0;1
5;1;1
5;2;2
5;3;2
