From;To;Count
0;0;7
0;1;2
0;2;8
0;3;23
0;4;5
1;0;4
1;2;4
1;3;14
1;4;6
2;0;7
2;1;2
2;2;8
2;3;55
2;4;31
2;5;1
3;0;18
3;1;17
3;2;47
3;3;338
3;4;247
3;5;12
4;0;8
4;1;7
4;2;35
4;3;243
4;4;428
4;5;39
5;0;1
5;2;3
5;3;6
5;4;43
5;5;35
5;6;1
6;5;1
