From;To;Count
2;3;2
2;4;1
3;2;1
3;3;63
3;4;113
3;5;5
4;2;2
4;3;110
4;4;1098
4;5;273
4;6;12
4;7;1
5;3;7
5;4;271
5;5;1248
5;6;243
5;7;3
6;4;13
6;5;245
6;6;527
6;7;48
7;5;1
7;6;51
7;7;50
