From;To;Count
0;0;96
0;1;20
0;2;50
0;3;41
0;4;4
1;0;24
1;1;22
1;2;12
1;3;17
1;4;1
2;0;36
2;1;22
2;2;62
2;3;67
2;4;9
3;0;49
3;1;12
3;2;66
3;3;165
3;4;25
4;0;6
4;2;6
4;3;27
4;4;21
5;3;1
5;5;1
