From;To;Count
0;0;53
0;1;13
0;2;30
0;3;65
0;4;15
0;5;2
1;0;8
1;1;10
1;2;18
1;3;44
1;4;11
1;5;1
2;0;34
2;1;19
2;2;64
2;3;116
2;4;38
2;5;7
3;0;66
3;1;36
3;2;137
3;3;429
3;4;149
3;5;19
4;0;14
4;1;13
4;2;24
4;3;164
4;4;319
4;5;48
5;0;3
5;1;1
5;2;5
5;3;18
5;4;51
5;5;46
