From;To;Count
0;1;4
0;2;4
0;3;4
1;0;2
1;1;16
1;2;24
1;3;23
1;4;3
2;0;6
2;1;19
2;2;89
2;3;123
2;4;13
3;0;4
3;1;22
3;2;118
3;3;187
3;4;43
4;1;8
4;2;15
4;3;37
4;4;21
