From;To;Count
0;2;1
0;3;1
0;4;3
1;1;3
1;2;4
1;3;12
1;4;8
2;1;4
2;2;2
2;3;29
2;4;20
3;0;1
3;1;12
3;2;31
3;3;198
3;4;235
3;5;15
4;0;4
4;1;8
4;2;16
4;3;244
4;4;929
4;5;155
4;6;2
5;2;1
5;3;8
5;4;164
5;5;360
5;6;12
6;5;14
6;6;4
