From;To;Count
2;2;1
2;3;1
2;4;2
3;2;1
3;3;101
3;4;122
3;5;11
4;2;2
4;3;116
4;4;1531
4;5;529
4;6;7
5;3;17
5;4;525
5;5;934
5;6;13
6;4;6
6;5;14
