From;To;Count
0;0;8
0;1;12
0;2;15
0;3;17
0;4;4
1;0;8
1;1;22
1;2;40
1;3;33
1;4;9
2;0;11
2;1;38
2;2;68
2;3;93
2;4;11
3;0;24
3;1;38
3;2;80
3;3;265
3;4;66
4;0;6
4;1;2
4;2;18
4;3;65
4;4;45
5;4;1
5;5;1
