From;To;Count
0;2;2
0;3;3
1;1;1
1;2;3
1;3;12
1;4;4
1;5;1
2;0;1
2;1;6
2;2;17
2;3;43
2;4;13
3;0;4
3;1;11
3;2;39
3;3;232
3;4;99
3;5;7
4;1;3
4;2;17
4;3;97
4;4;94
4;5;21
5;2;2
5;3;5
5;4;23
5;5;15
