From;To;Count
0;0;4
0;1;11
0;2;26
0;3;5
0;4;2
1;0;16
1;1;98
1;2;169
1;3;43
1;4;5
2;0;20
2;1;173
2;2;750
2;3;402
2;4;24
3;0;8
3;1;46
3;2;409
3;3;1092
3;4;138
4;1;3
4;2;15
4;3;152
4;4;121
